year,month,count,type,short_year
2554,7,3.0,positive,54
2554,8,1.0,positive,54
2554,12,2.0,positive,54
2555,1,3.0,positive,55
2555,2,1.0,positive,55
2555,3,2.0,positive,55
2555,6,1.0,positive,55
2555,7,1.0,positive,55
2555,8,1.0,positive,55
2555,9,1.0,positive,55
2556,3,1.0,positive,56
2556,7,1.0,positive,56
2557,3,1.0,positive,57
2557,11,1.0,positive,57
2559,12,1.0,positive,59
2560,7,1.0,positive,60
2560,9,3.0,positive,60
2562,5,4.0,positive,62
2562,9,1.0,positive,62
2562,10,1.0,positive,62
2562,11,3.0,positive,62
2562,12,3.0,positive,62
2563,2,1.0,positive,63
2563,3,1.0,positive,63
2563,7,1.0,positive,63
2564,2,1.0,positive,64
2564,3,1.0,positive,64
2564,4,1.0,positive,64
2564,6,2.0,positive,64
2564,9,1.0,positive,64
2564,11,1.0,positive,64
2564,12,1.0,positive,64
2565,1,1.0,positive,65
2565,2,1.0,positive,65
2565,3,1.0,positive,65
2565,7,3.0,positive,65
2565,8,1.0,positive,65
2565,9,1.0,positive,65
2565,10,2.0,positive,65
2554,8,-1.0,negative,54
2554,11,-1.0,negative,54
2554,12,-2.0,negative,54
2555,2,-1.0,negative,55
2555,3,-1.0,negative,55
2555,6,-2.0,negative,55
2555,9,-1.0,negative,55
2557,5,-1.0,negative,57
2557,8,-1.0,negative,57
2558,8,-1.0,negative,58
2560,6,-1.0,negative,60
2560,7,-1.0,negative,60
2560,8,-1.0,negative,60
2560,11,-2.0,negative,60
2561,6,-1.0,negative,61
2562,5,-1.0,negative,62
2562,9,-1.0,negative,62
2564,7,-1.0,negative,64
2564,9,-1.0,negative,64
2565,7,-1.0,negative,65
