year,month,count,type,short_year
2554,7,12.0,positive,54
2554,8,10.0,positive,54
2554,9,13.0,positive,54
2554,10,3.0,positive,54
2554,11,6.0,positive,54
2554,12,15.0,positive,54
2555,1,13.0,positive,55
2555,2,12.0,positive,55
2555,3,13.0,positive,55
2555,4,23.0,positive,55
2555,5,19.0,positive,55
2555,6,10.0,positive,55
2555,7,12.0,positive,55
2555,8,13.0,positive,55
2555,9,6.0,positive,55
2555,10,7.0,positive,55
2555,11,15.0,positive,55
2555,12,7.0,positive,55
2556,1,11.0,positive,56
2556,2,3.0,positive,56
2556,3,10.0,positive,56
2556,4,11.0,positive,56
2556,5,14.0,positive,56
2556,6,14.0,positive,56
2556,7,11.0,positive,56
2556,8,15.0,positive,56
2556,9,17.0,positive,56
2556,10,11.0,positive,56
2556,11,14.0,positive,56
2556,12,17.0,positive,56
2557,1,8.0,positive,57
2557,2,9.0,positive,57
2557,3,17.0,positive,57
2557,4,14.0,positive,57
2557,5,13.0,positive,57
2557,7,2.0,positive,57
2557,8,2.0,positive,57
2558,2,1.0,positive,58
2558,3,3.0,positive,58
2558,6,1.0,positive,58
2558,7,1.0,positive,58
2558,10,1.0,positive,58
2558,11,2.0,positive,58
2559,2,3.0,positive,59
2559,3,1.0,positive,59
2559,4,2.0,positive,59
2559,6,1.0,positive,59
2559,8,1.0,positive,59
2559,9,4.0,positive,59
2559,10,1.0,positive,59
2560,3,1.0,positive,60
2560,7,4.0,positive,60
2560,8,1.0,positive,60
2560,11,1.0,positive,60
2561,1,1.0,positive,61
2561,5,4.0,positive,61
2561,6,2.0,positive,61
2561,7,1.0,positive,61
2561,9,1.0,positive,61
2561,10,3.0,positive,61
2561,11,2.0,positive,61
2561,12,1.0,positive,61
2562,1,4.0,positive,62
2562,3,8.0,positive,62
2562,4,5.0,positive,62
2562,5,7.0,positive,62
2562,6,3.0,positive,62
2562,7,1.0,positive,62
2562,9,6.0,positive,62
2562,12,4.0,positive,62
2563,1,1.0,positive,63
2563,2,7.0,positive,63
2563,3,2.0,positive,63
2563,7,1.0,positive,63
2563,8,1.0,positive,63
2563,9,4.0,positive,63
2563,11,2.0,positive,63
2563,12,1.0,positive,63
2564,1,3.0,positive,64
2564,2,4.0,positive,64
2564,3,4.0,positive,64
2564,4,3.0,positive,64
2564,5,1.0,positive,64
2564,6,6.0,positive,64
2564,7,1.0,positive,64
2564,8,3.0,positive,64
2564,9,9.0,positive,64
2564,10,10.0,positive,64
2564,11,4.0,positive,64
2564,12,1.0,positive,64
2565,1,5.0,positive,65
2565,2,6.0,positive,65
2565,3,6.0,positive,65
