year,month,count,type,short_year
2557,6,1.0,positive,57
2558,3,1.0,positive,58
2560,7,3.0,positive,60
2560,8,1.0,positive,60
2560,12,1.0,positive,60
2561,1,2.0,positive,61
2561,3,1.0,positive,61
2561,5,1.0,positive,61
2564,4,1.0,positive,64
2564,6,1.0,positive,64
2565,1,1.0,positive,65
2565,9,1.0,positive,65
2555,5,-2.0,negative,55
2555,7,-1.0,negative,55
2557,3,-1.0,negative,57
2560,12,-1.0,negative,60
2562,2,-1.0,negative,62
2562,12,-1.0,negative,62
2563,6,-1.0,negative,63
2563,11,-1.0,negative,63
2564,2,-1.0,negative,64
2564,3,-4.0,negative,64
2564,4,-1.0,negative,64
2564,8,-1.0,negative,64
2564,11,-1.0,negative,64
2565,1,-1.0,negative,65
2565,2,-1.0,negative,65
2565,3,-1.0,negative,65
2565,4,-1.0,negative,65
2565,5,-1.0,negative,65
2565,6,-1.0,negative,65
2565,7,-1.0,negative,65
2565,8,-2.0,negative,65
