year,month,count,type,short_year
2562,5,1.0,positive,62
2562,6,1.0,positive,62
2562,7,1.0,positive,62
2562,9,1.0,positive,62
2563,5,1.0,positive,63
2563,6,1.0,positive,63
2563,7,1.0,positive,63
2564,2,3.0,positive,64
2564,5,1.0,positive,64
2564,6,3.0,positive,64
2564,7,1.0,positive,64
2564,11,1.0,positive,64
2564,12,1.0,positive,64
2565,1,1.0,positive,65
2565,2,1.0,positive,65
2565,3,1.0,positive,65
2563,5,-1.0,negative,63
2564,5,-2.0,negative,64
2564,7,-1.0,negative,64
2564,10,-1.0,negative,64
2564,11,-1.0,negative,64
2565,1,-4.0,negative,65
2565,2,-1.0,negative,65
2565,3,-4.0,negative,65
2565,7,-2.0,negative,65
2565,10,-2.0,negative,65
