year,month,count,type,short_year
2554,7,1.0,positive,54
2554,8,1.0,positive,54
2556,1,2.0,positive,56
2561,3,1.0,positive,61
2561,5,1.0,positive,61
2561,10,1.0,positive,61
2561,11,1.0,positive,61
2562,2,1.0,positive,62
2562,3,2.0,positive,62
2562,4,3.0,positive,62
2562,5,4.0,positive,62
2562,6,6.0,positive,62
2562,7,4.0,positive,62
2562,9,3.0,positive,62
2562,10,16.0,positive,62
2562,11,6.0,positive,62
2562,12,21.0,positive,62
2563,1,9.0,positive,63
2563,2,29.0,positive,63
2563,3,2.0,positive,63
2563,5,1.0,positive,63
2563,6,2.0,positive,63
2563,7,2.0,positive,63
2563,8,5.0,positive,63
2563,9,1.0,positive,63
2563,10,5.0,positive,63
2563,11,3.0,positive,63
2563,12,1.0,positive,63
2564,1,4.0,positive,64
2564,2,2.0,positive,64
2564,3,4.0,positive,64
2564,5,3.0,positive,64
2564,6,3.0,positive,64
2564,8,3.0,positive,64
2564,9,1.0,positive,64
2564,10,4.0,positive,64
2564,11,8.0,positive,64
2565,1,2.0,positive,65
2565,2,4.0,positive,65
2565,4,3.0,positive,65
2565,5,1.0,positive,65
2565,7,6.0,positive,65
2565,9,2.0,positive,65
2565,10,4.0,positive,65
2554,7,-2.0,negative,54
2554,9,-1.0,negative,54
2561,3,-1.0,negative,61
2561,4,-1.0,negative,61
2561,6,-2.0,negative,61
2561,9,-1.0,negative,61
2561,10,-1.0,negative,61
2562,1,-1.0,negative,62
2562,2,-4.0,negative,62
2562,3,-3.0,negative,62
2562,4,-3.0,negative,62
2562,5,-10.0,negative,62
2562,6,-4.0,negative,62
2562,7,-4.0,negative,62
2562,8,-1.0,negative,62
2562,9,-5.0,negative,62
2562,10,-6.0,negative,62
2562,11,-3.0,negative,62
2562,12,-9.0,negative,62
2563,1,-5.0,negative,63
2563,2,-16.0,negative,63
2563,3,-5.0,negative,63
2563,4,-3.0,negative,63
2563,5,-12.0,negative,63
2563,6,-4.0,negative,63
2563,7,-10.0,negative,63
2563,8,-9.0,negative,63
2563,9,-8.0,negative,63
2563,10,-8.0,negative,63
2563,11,-5.0,negative,63
2563,12,-2.0,negative,63
2564,1,-3.0,negative,64
2564,2,-7.0,negative,64
2564,3,-2.0,negative,64
2564,4,-7.0,negative,64
2564,5,-3.0,negative,64
2564,6,-5.0,negative,64
2564,8,-7.0,negative,64
2564,9,-4.0,negative,64
2564,10,-3.0,negative,64
2564,11,-5.0,negative,64
2564,12,-5.0,negative,64
2565,1,-4.0,negative,65
2565,2,-7.0,negative,65
2565,3,-1.0,negative,65
2565,4,-3.0,negative,65
2565,5,-3.0,negative,65
2565,6,-9.0,negative,65
2565,7,-16.0,negative,65
2565,8,-11.0,negative,65
2565,9,-3.0,negative,65
2565,10,-2.0,negative,65
