year,month,count,type,short_year
2560,8,1.0,positive,60
2560,9,1.0,positive,60
2561,7,2.0,positive,61
2561,9,2.0,positive,61
2561,10,5.0,positive,61
2561,11,2.0,positive,61
2561,12,2.0,positive,61
2562,1,4.0,positive,62
2562,2,3.0,positive,62
2562,3,5.0,positive,62
2562,4,3.0,positive,62
2562,5,2.0,positive,62
2562,6,2.0,positive,62
2562,7,3.0,positive,62
2562,8,3.0,positive,62
2562,10,10.0,positive,62
2562,11,1.0,positive,62
2562,12,2.0,positive,62
2563,1,1.0,positive,63
2563,2,2.0,positive,63
2563,8,1.0,positive,63
2563,9,3.0,positive,63
2557,4,-1.0,negative,57
2562,2,-3.0,negative,62
2562,4,-1.0,negative,62
2562,8,-1.0,negative,62
2563,8,-1.0,negative,63
