year,month,count,type,short_year
2554,7,2.0,positive,54
2554,9,1.0,positive,54
2554,11,1.0,positive,54
2555,3,1.0,positive,55
2555,4,1.0,positive,55
2555,5,3.0,positive,55
2555,11,4.0,positive,55
2556,1,2.0,positive,56
2556,2,2.0,positive,56
2556,3,2.0,positive,56
2556,4,1.0,positive,56
2556,8,1.0,positive,56
2556,9,2.0,positive,56
2556,11,1.0,positive,56
2556,12,1.0,positive,56
2557,1,1.0,positive,57
2557,11,1.0,positive,57
2560,2,1.0,positive,60
2560,11,1.0,positive,60
2561,2,1.0,positive,61
2561,9,1.0,positive,61
2561,12,1.0,positive,61
2562,3,1.0,positive,62
2562,5,8.0,positive,62
2562,6,6.0,positive,62
2562,7,2.0,positive,62
2562,8,2.0,positive,62
2562,9,3.0,positive,62
2562,10,5.0,positive,62
2562,11,6.0,positive,62
2562,12,6.0,positive,62
2563,1,5.0,positive,63
2563,2,9.0,positive,63
2563,3,2.0,positive,63
2563,4,2.0,positive,63
2563,6,1.0,positive,63
2563,7,3.0,positive,63
2563,8,6.0,positive,63
2563,9,2.0,positive,63
2563,10,2.0,positive,63
2563,11,1.0,positive,63
2563,12,1.0,positive,63
2564,1,3.0,positive,64
2564,2,5.0,positive,64
2564,3,9.0,positive,64
2564,4,1.0,positive,64
2564,5,2.0,positive,64
2564,6,9.0,positive,64
2564,7,1.0,positive,64
2564,8,4.0,positive,64
2564,9,2.0,positive,64
2564,10,3.0,positive,64
2564,11,2.0,positive,64
2564,12,1.0,positive,64
2565,2,6.0,positive,65
2565,3,5.0,positive,65
2565,4,2.0,positive,65
2565,5,3.0,positive,65
2565,6,6.0,positive,65
2565,7,4.0,positive,65
2565,8,4.0,positive,65
2565,9,5.0,positive,65
2565,10,5.0,positive,65
2554,7,-2.0,negative,54
2554,8,-4.0,negative,54
2554,9,-1.0,negative,54
2554,12,-2.0,negative,54
2555,1,-3.0,negative,55
2555,3,-1.0,negative,55
2555,8,-1.0,negative,55
2555,10,-1.0,negative,55
2555,11,-1.0,negative,55
2556,3,-3.0,negative,56
2556,5,-3.0,negative,56
2556,8,-6.0,negative,56
2556,9,-3.0,negative,56
2556,12,-3.0,negative,56
2557,1,-1.0,negative,57
2557,2,-2.0,negative,57
2557,3,-2.0,negative,57
2557,4,-2.0,negative,57
2558,6,-1.0,negative,58
2559,9,-1.0,negative,59
2560,4,-1.0,negative,60
2560,8,-1.0,negative,60
2561,5,-1.0,negative,61
2562,2,-1.0,negative,62
2562,3,-3.0,negative,62
2562,5,-5.0,negative,62
2562,6,-3.0,negative,62
2562,10,-2.0,negative,62
2562,11,-1.0,negative,62
2563,1,-3.0,negative,63
2563,2,-3.0,negative,63
2563,5,-1.0,negative,63
2563,9,-2.0,negative,63
2564,1,-1.0,negative,64
2564,2,-4.0,negative,64
2564,3,-1.0,negative,64
2564,4,-6.0,negative,64
2564,6,-3.0,negative,64
2564,7,-2.0,negative,64
2564,8,-2.0,negative,64
2565,1,-1.0,negative,65
2565,2,-7.0,negative,65
2565,6,-2.0,negative,65
2565,9,-6.0,negative,65
