year,month,count,type,short_year
2562,4,1.0,positive,62
2562,10,1.0,positive,62
2562,12,1.0,positive,62
2563,7,1.0,positive,63
2564,2,2.0,positive,64
2564,3,4.0,positive,64
2564,4,1.0,positive,64
2564,5,1.0,positive,64
2564,6,2.0,positive,64
2564,8,1.0,positive,64
2564,10,2.0,positive,64
2564,11,2.0,positive,64
2564,12,1.0,positive,64
2565,1,3.0,positive,65
2565,2,3.0,positive,65
2565,3,1.0,positive,65
2565,4,7.0,positive,65
2565,5,4.0,positive,65
2565,6,2.0,positive,65
2565,7,8.0,positive,65
2565,8,3.0,positive,65
2565,9,5.0,positive,65
2565,10,8.0,positive,65
2562,6,-1.0,negative,62
2563,12,-1.0,negative,63
