,date_time,title,link,person,groups,sub_categories,categories,score,year,month
1092,2020-07-09 10:41:00,"สี่กุมาร ""อุตตม-สนธิรัตน์-สุวิทย์-กอบศักดิ์"" เตรียมแถลงลาออกจากสมาชิก พปชร. เที่ยงวันนี้",https://mgronline.com/politics/detail/9630000070233,"อุตตม สาวนายน,สุวิทย์ เมษินทรีย์,สนธิรัตน์ สนธิจิรวงศ์,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2020,7
1106,2020-06-30 11:32:00,“สนธิรัตน์” ยังไม่ตอบอยู่กับ พปชร.ต่อหรือไม่ ยันพร้อมสนับสนุนงานเลขาฯ พรรคคนใหม่,https://mgronline.com/politics/detail/9630000067004,"สนธิรัตน์ สนธิจิรวงศ์,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2020,6
1110,2020-06-27 16:35:00,"""อุตตม-สนธิรัตน์""รับสภาพไร้ชื่อเป็น กก.บห.พปชร. นั่ง รมต.ต่อหรือไม่แล้วแต่""บิ๊กตู่""พิจารณา",https://mgronline.com/politics/detail/9630000066255,"พลเอก ประยุทธ์ จันทร์โอชา,อุตตม สาวนายน,สนธิรัตน์ สนธิจิรวงศ์,พรรคพลังประชารัฐ,พรรคอนาคตใหม่-พรรคก้าวไกล,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2020,6
1111,2020-06-27 14:23:00,“อุตตม-สนธิรัตน์” ร่วมประชุมใหญ่ พปชร.ไร้เงา”สุวิทย์-กอบศักดิ์” เผยมาทำหน้าที่ให้จบ ยังไม่คิดเส้นทางการเมืองข้างหน้า,https://mgronline.com/politics/detail/9630000066209,"อุตตม สาวนายน,สุวิทย์ เมษินทรีย์,สนธิรัตน์ สนธิจิรวงศ์,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2020,6
1142,2020-05-31 14:22:00,“สนธิรัตน์-ธรรมนัส” ขน 60 ส.ส.พปชร.ให้กำลังใจ “อุตตม” ดูแลงบ-นั่ง หน.พรรรค,https://mgronline.com/politics/detail/9630000056528,"อุตตม สาวนายน,ร้อยเอก ธรรมนัส พรหมเผ่า,สนธิรัตน์ สนธิจิรวงศ์,ร้อยเอก ธรรมนัส พรหมเผ่า,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,5
1156,2020-05-05 15:48:00,“อุตตม-สนธิรัตน์” เผย “บิ๊กตู่” แนะหารือแก้ปัญหา พปชร. ยันเคารพ “ประวิตร” จ่อพบ,https://mgronline.com/politics/detail/9630000046975,"พลเอก ประยุทธ์ จันทร์โอชา,พลเอก ประวิตร วงษ์สุวรรณ,อุตตม สาวนายน,สนธิรัตน์ สนธิจิรวงศ์,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,5
1224,2020-02-25 14:42:00,“สนธิรัตน์” ขอเช็กก่อน อดีต อนค.แฉถูกดูดร่วม รบ. ชี้เลิกปริ่มน้ำจะมาต้องมีใจ,https://mgronline.com/politics/detail/9630000018922,"สนธิรัตน์ สนธิจิรวงศ์,พรรคอนาคตใหม่-พรรคก้าวไกล,","ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,2
1235,2020-02-24 10:59:00,“สนธิรัตน์” เตือน “อนาคตใหม่” ซักฟอกนอกสภาไม่มีเอกสิทธิ์ ส.ส.ระวังข้อ กม.,https://mgronline.com/politics/detail/9630000018370,"สนธิรัตน์ สนธิจิรวงศ์,พรรคอนาคตใหม่-พรรคก้าวไกล,","ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,2
1281,2020-01-28 11:12:00,“สนธิรัตน์” มั่นใจพรรคร่วมฯ ปมขบเหลี่ยม ปชป.-ภท.ไม่กระทบเสียงตอนโหวต ไร้ปัญหารับมือซักฟอก,https://mgronline.com/politics/detail/9630000008992,"สนธิรัตน์ สนธิจิรวงศ์,พรรคภูมิใจไทย,พรรคประชาธิปัตย์,","ครม. ชุดที่ 62,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,1
1315,2020-01-07 10:52:00,“สนธิรัตน์” เวลคัมทุกคน คอนเฟิร์ม “สารวัตรต๊อก” โผล่ พปชร.บ่ายนี้,https://mgronline.com/politics/detail/9630000001642,"สนธิรัตน์ สนธิจิรวงศ์,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,1
