year,month,count,type,short_year
2554,7,13.0,positive,54
2554,8,14.0,positive,54
2554,9,14.0,positive,54
2554,10,3.0,positive,54
2554,11,7.0,positive,54
2554,12,16.0,positive,54
2555,1,17.0,positive,55
2555,2,18.0,positive,55
2555,3,17.0,positive,55
2555,4,26.0,positive,55
2555,5,23.0,positive,55
2555,6,11.0,positive,55
2555,7,13.0,positive,55
2555,8,16.0,positive,55
2555,9,7.0,positive,55
2555,10,9.0,positive,55
2555,11,19.0,positive,55
2555,12,8.0,positive,55
2556,1,13.0,positive,56
2556,2,6.0,positive,56
2556,3,12.0,positive,56
2556,4,13.0,positive,56
2556,5,14.0,positive,56
2556,6,16.0,positive,56
2556,7,18.0,positive,56
2556,8,17.0,positive,56
2556,9,19.0,positive,56
2556,10,12.0,positive,56
2556,11,15.0,positive,56
2556,12,17.0,positive,56
2557,1,10.0,positive,57
2557,2,9.0,positive,57
2557,3,21.0,positive,57
2557,4,16.0,positive,57
2557,5,19.0,positive,57
2557,6,11.0,positive,57
2557,7,9.0,positive,57
2557,8,8.0,positive,57
2557,9,3.0,positive,57
2557,10,4.0,positive,57
2557,11,3.0,positive,57
2557,12,11.0,positive,57
2558,1,6.0,positive,58
2558,2,9.0,positive,58
2558,3,11.0,positive,58
2558,4,2.0,positive,58
2558,5,3.0,positive,58
2558,6,3.0,positive,58
2558,7,3.0,positive,58
2558,8,3.0,positive,58
2558,9,9.0,positive,58
2558,10,5.0,positive,58
2558,11,3.0,positive,58
2558,12,3.0,positive,58
2559,1,2.0,positive,59
2559,2,4.0,positive,59
2559,3,3.0,positive,59
2559,4,2.0,positive,59
2559,6,3.0,positive,59
2559,7,3.0,positive,59
2559,8,9.0,positive,59
2559,9,8.0,positive,59
2559,10,1.0,positive,59
2559,12,5.0,positive,59
2560,1,7.0,positive,60
2560,2,3.0,positive,60
2560,3,2.0,positive,60
2560,4,5.0,positive,60
2560,6,2.0,positive,60
2560,7,9.0,positive,60
2560,8,9.0,positive,60
2560,9,12.0,positive,60
2560,10,1.0,positive,60
2560,11,5.0,positive,60
2560,12,4.0,positive,60
2561,1,8.0,positive,61
2561,2,4.0,positive,61
2561,3,8.0,positive,61
2561,4,3.0,positive,61
2561,5,8.0,positive,61
2561,6,6.0,positive,61
2561,7,9.0,positive,61
2561,8,3.0,positive,61
2561,9,6.0,positive,61
2561,10,15.0,positive,61
2561,11,26.0,positive,61
2561,12,18.0,positive,61
2562,1,24.0,positive,62
2562,2,22.0,positive,62
2562,3,38.0,positive,62
2562,4,19.0,positive,62
2562,5,48.0,positive,62
2562,6,40.0,positive,62
2562,7,29.0,positive,62
2562,8,21.0,positive,62
2562,9,23.0,positive,62
2562,10,41.0,positive,62
2562,11,31.0,positive,62
2562,12,43.0,positive,62
2563,1,34.0,positive,63
2563,2,48.0,positive,63
2563,3,15.0,positive,63
2563,4,7.0,positive,63
2563,5,4.0,positive,63
2563,6,20.0,positive,63
2563,7,21.0,positive,63
2563,8,18.0,positive,63
2563,9,13.0,positive,63
2563,10,22.0,positive,63
2563,11,17.0,positive,63
2563,12,16.0,positive,63
2564,1,10.0,positive,64
2564,2,22.0,positive,64
2564,3,25.0,positive,64
2564,4,7.0,positive,64
2564,5,7.0,positive,64
2564,6,31.0,positive,64
2564,7,8.0,positive,64
2564,8,9.0,positive,64
2564,9,17.0,positive,64
2564,10,30.0,positive,64
2564,11,26.0,positive,64
2564,12,6.0,positive,64
2565,1,12.0,positive,65
2565,2,29.0,positive,65
2565,3,16.0,positive,65
2565,4,22.0,positive,65
2565,5,19.0,positive,65
2565,6,19.0,positive,65
2565,7,30.0,positive,65
2565,8,22.0,positive,65
2565,9,65.0,positive,65
2565,10,110.0,positive,65
2565,11,9.0,positive,65
2554,7,-18.0,negative,54
2554,8,-34.0,negative,54
2554,9,-38.0,negative,54
2554,10,-27.0,negative,54
2554,11,-33.0,negative,54
2554,12,-39.0,negative,54
2555,1,-46.0,negative,55
2555,2,-30.0,negative,55
2555,3,-38.0,negative,55
2555,4,-18.0,negative,55
2555,5,-31.0,negative,55
2555,6,-48.0,negative,55
2555,7,-36.0,negative,55
2555,8,-48.0,negative,55
2555,9,-42.0,negative,55
2555,10,-35.0,negative,55
2555,11,-39.0,negative,55
2555,12,-26.0,negative,55
2556,1,-37.0,negative,56
2556,2,-32.0,negative,56
2556,3,-27.0,negative,56
2556,4,-35.0,negative,56
2556,5,-45.0,negative,56
2556,6,-39.0,negative,56
2556,7,-44.0,negative,56
2556,8,-45.0,negative,56
2556,9,-51.0,negative,56
2556,10,-43.0,negative,56
2556,11,-33.0,negative,56
2556,12,-48.0,negative,56
2557,1,-19.0,negative,57
2557,2,-38.0,negative,57
2557,3,-54.0,negative,57
2557,4,-38.0,negative,57
2557,5,-24.0,negative,57
2557,6,-3.0,negative,57
2557,7,-3.0,negative,57
2557,8,-4.0,negative,57
2557,9,-4.0,negative,57
2557,10,-7.0,negative,57
2557,11,-2.0,negative,57
2557,12,-3.0,negative,57
2558,1,-1.0,negative,58
2558,2,-4.0,negative,58
2558,3,-1.0,negative,58
2558,4,-2.0,negative,58
2558,5,-7.0,negative,58
2558,6,-1.0,negative,58
2558,7,-3.0,negative,58
2558,8,-7.0,negative,58
2558,9,-7.0,negative,58
2558,10,-7.0,negative,58
