year,month,count,type,short_year
2562,5,1.0,positive,62
2562,12,1.0,positive,62
2563,7,1.0,positive,63
2563,8,1.0,positive,63
2563,9,2.0,positive,63
2563,10,2.0,positive,63
2563,11,1.0,positive,63
2563,12,1.0,positive,63
2564,3,1.0,positive,64
2564,6,1.0,positive,64
2564,7,2.0,positive,64
2564,10,1.0,positive,64
2565,2,2.0,positive,65
2565,4,1.0,positive,65
2565,7,3.0,positive,65
2565,9,1.0,positive,65
2565,10,2.0,positive,65
2556,3,-1.0,negative,56
2556,11,-1.0,negative,56
2556,12,-3.0,negative,56
2558,8,-1.0,negative,58
2562,9,-1.0,negative,62
2563,3,-1.0,negative,63
2563,8,-1.0,negative,63
2563,12,-1.0,negative,63
2564,2,-1.0,negative,64
2565,1,-1.0,negative,65
2565,3,-1.0,negative,65
2565,7,-1.0,negative,65
2565,9,-1.0,negative,65
2565,10,-1.0,negative,65
