year,month,count,type,short_year
2557,3,1.0,positive,57
2557,4,1.0,positive,57
2557,10,1.0,positive,57
2559,6,2.0,positive,59
2559,8,2.0,positive,59
2559,9,1.0,positive,59
2560,4,1.0,positive,60
2561,6,2.0,positive,61
2562,2,1.0,positive,62
2562,4,1.0,positive,62
2562,7,1.0,positive,62
2562,8,1.0,positive,62
2562,9,3.0,positive,62
2562,10,2.0,positive,62
2562,11,1.0,positive,62
2562,12,3.0,positive,62
2563,1,1.0,positive,63
2563,2,1.0,positive,63
2563,11,1.0,positive,63
2563,12,2.0,positive,63
2564,6,1.0,positive,64
2565,8,2.0,positive,65
2565,9,3.0,positive,65
2555,1,-2.0,negative,55
2555,6,-2.0,negative,55
2556,1,-1.0,negative,56
2556,5,-1.0,negative,56
2556,9,-1.0,negative,56
2556,10,-1.0,negative,56
2556,11,-1.0,negative,56
2557,3,-3.0,negative,57
2561,11,-1.0,negative,61
2562,1,-2.0,negative,62
2562,2,-1.0,negative,62
2562,3,-1.0,negative,62
2562,9,-2.0,negative,62
2564,2,-1.0,negative,64
2564,3,-1.0,negative,64
2564,12,-1.0,negative,64
2565,8,-1.0,negative,65
