year,month,count,type,short_year
2554,7,4.0,positive,54
2554,8,5.0,positive,54
2554,9,2.0,positive,54
2554,10,1.0,positive,54
2554,11,1.0,positive,54
2554,12,2.0,positive,54
2555,1,2.0,positive,55
2555,2,4.0,positive,55
2555,3,5.0,positive,55
2555,4,10.0,positive,55
2555,5,5.0,positive,55
2555,6,1.0,positive,55
2555,7,1.0,positive,55
2555,8,4.0,positive,55
2555,9,2.0,positive,55
2555,10,3.0,positive,55
2555,11,3.0,positive,55
2555,12,2.0,positive,55
2556,1,3.0,positive,56
2556,2,2.0,positive,56
2556,3,6.0,positive,56
2556,4,6.0,positive,56
2556,5,4.0,positive,56
2556,6,5.0,positive,56
2556,7,4.0,positive,56
2556,8,12.0,positive,56
2556,9,10.0,positive,56
2556,10,3.0,positive,56
2556,11,5.0,positive,56
2556,12,6.0,positive,56
2557,1,2.0,positive,57
2557,2,2.0,positive,57
2557,3,3.0,positive,57
2557,4,4.0,positive,57
2557,5,4.0,positive,57
2557,6,4.0,positive,57
2557,7,3.0,positive,57
2557,8,4.0,positive,57
2557,9,1.0,positive,57
2557,12,1.0,positive,57
2558,2,1.0,positive,58
2558,3,2.0,positive,58
2558,5,1.0,positive,58
2558,7,1.0,positive,58
2558,8,1.0,positive,58
2558,9,1.0,positive,58
2558,12,1.0,positive,58
2559,1,1.0,positive,59
2559,2,3.0,positive,59
2559,4,1.0,positive,59
2559,7,1.0,positive,59
2559,8,1.0,positive,59
2559,9,1.0,positive,59
2559,10,1.0,positive,59
2560,4,1.0,positive,60
2560,6,1.0,positive,60
2560,7,1.0,positive,60
2560,8,1.0,positive,60
2560,9,5.0,positive,60
2561,1,1.0,positive,61
2561,7,1.0,positive,61
2561,11,1.0,positive,61
2562,3,1.0,positive,62
2562,4,2.0,positive,62
2562,5,9.0,positive,62
2562,6,7.0,positive,62
2562,7,5.0,positive,62
2562,9,2.0,positive,62
2562,10,1.0,positive,62
2562,11,4.0,positive,62
2562,12,3.0,positive,62
2563,1,5.0,positive,63
2563,2,4.0,positive,63
2563,3,4.0,positive,63
2563,5,1.0,positive,63
2563,6,1.0,positive,63
2563,7,2.0,positive,63
2563,8,2.0,positive,63
2563,9,6.0,positive,63
2563,10,4.0,positive,63
2563,11,2.0,positive,63
2563,12,2.0,positive,63
2564,1,1.0,positive,64
2564,2,3.0,positive,64
2564,3,6.0,positive,64
2564,5,1.0,positive,64
2564,6,9.0,positive,64
2564,7,2.0,positive,64
2564,8,1.0,positive,64
2564,10,1.0,positive,64
2564,11,4.0,positive,64
2565,1,1.0,positive,65
2565,2,4.0,positive,65
2565,6,2.0,positive,65
2565,7,5.0,positive,65
2565,8,1.0,positive,65
2565,9,5.0,positive,65
2565,10,2.0,positive,65
2554,7,-13.0,negative,54
2554,8,-26.0,negative,54
2554,9,-33.0,negative,54
2554,10,-27.0,negative,54
2554,11,-29.0,negative,54
2554,12,-32.0,negative,54
2555,1,-37.0,negative,55
2555,2,-29.0,negative,55
2555,3,-33.0,negative,55
2555,4,-14.0,negative,55
2555,5,-26.0,negative,55
2555,6,-38.0,negative,55
2555,7,-33.0,negative,55
2555,8,-47.0,negative,55
2555,9,-40.0,negative,55
2555,10,-32.0,negative,55
2555,11,-36.0,negative,55
2555,12,-23.0,negative,55
2556,1,-34.0,negative,56
2556,2,-31.0,negative,56
2556,3,-22.0,negative,56
2556,4,-33.0,negative,56
2556,5,-37.0,negative,56
2556,6,-32.0,negative,56
2556,7,-35.0,negative,56
2556,8,-37.0,negative,56
2556,9,-43.0,negative,56
2556,10,-34.0,negative,56
2556,11,-24.0,negative,56
2556,12,-35.0,negative,56
2557,1,-14.0,negative,57
2557,2,-26.0,negative,57
2557,3,-38.0,negative,57
2557,4,-29.0,negative,57
2557,5,-19.0,negative,57
2557,6,-1.0,negative,57
2557,7,-1.0,negative,57
2557,8,-1.0,negative,57
2557,9,-2.0,negative,57
2557,10,-2.0,negative,57
2557,12,-1.0,negative,57
2558,2,-2.0,negative,58
2558,3,-1.0,negative,58
2558,4,-2.0,negative,58
2558,5,-6.0,negative,58
2558,7,-1.0,negative,58
2558,8,-3.0,negative,58
2558,9,-4.0,negative,58
2558,10,-3.0,negative,58
2558,11,-1.0,negative,58
2558,12,-2.0,negative,58
2559,1,-3.0,negative,59
2559,2,-1.0,negative,59
2559,3,-3.0,negative,59
2559,4,-2.0,negative,59
2559,5,-1.0,negative,59
2559,6,-4.0,negative,59
2559,7,-6.0,negative,59
2559,8,-4.0,negative,59
2559,9,-2.0,negative,59
2559,11,-2.0,negative,59
2559,12,-2.0,negative,59
2560,1,-2.0,negative,60
2560,2,-4.0,negative,60
2560,3,-1.0,negative,60
2560,4,-2.0,negative,60
2560,5,-1.0,negative,60
2560,6,-5.0,negative,60
2560,7,-3.0,negative,60
2560,8,-1.0,negative,60
2560,9,-6.0,negative,60
2560,10,-3.0,negative,60
2560,11,-2.0,negative,60
2560,12,-6.0,negative,60
2561,1,-8.0,negative,61
2561,2,-5.0,negative,61
2561,3,-5.0,negative,61
2561,4,-8.0,negative,61
2561,5,-4.0,negative,61
2561,6,-2.0,negative,61
2561,7,-2.0,negative,61
2561,8,-2.0,negative,61
2561,9,-2.0,negative,61
2561,10,-2.0,negative,61
2561,11,-6.0,negative,61
2561,12,-8.0,negative,61
2562,1,-3.0,negative,62
2562,2,-2.0,negative,62
2562,3,-3.0,negative,62
2562,4,-2.0,negative,62
2562,5,-10.0,negative,62
2562,6,-3.0,negative,62
2562,9,-1.0,negative,62
2562,10,-2.0,negative,62
2562,11,-3.0,negative,62
2562,12,-2.0,negative,62
2563,1,-3.0,negative,63
2563,2,-1.0,negative,63
2563,3,-4.0,negative,63
2563,4,-1.0,negative,63
