year,month,count,type,short_year
2554,7,3.0,positive,54
2555,3,1.0,positive,55
2555,4,2.0,positive,55
2555,5,1.0,positive,55
2555,6,1.0,positive,55
2555,8,1.0,positive,55
2556,1,2.0,positive,56
2556,2,1.0,positive,56
2556,3,2.0,positive,56
2556,5,1.0,positive,56
2556,6,1.0,positive,56
2556,8,1.0,positive,56
2556,9,2.0,positive,56
2556,12,4.0,positive,56
2557,1,4.0,positive,57
2557,2,4.0,positive,57
2557,3,5.0,positive,57
2557,4,3.0,positive,57
2557,5,2.0,positive,57
2557,9,1.0,positive,57
2559,7,1.0,positive,59
2559,8,1.0,positive,59
2561,5,1.0,positive,61
2561,6,1.0,positive,61
2561,7,1.0,positive,61
2561,10,5.0,positive,61
2561,11,2.0,positive,61
2561,12,1.0,positive,61
2562,2,6.0,positive,62
2562,3,8.0,positive,62
2562,4,8.0,positive,62
2562,5,5.0,positive,62
2562,6,4.0,positive,62
2562,7,1.0,positive,62
2562,8,2.0,positive,62
2562,9,5.0,positive,62
2562,10,8.0,positive,62
2562,11,6.0,positive,62
2562,12,12.0,positive,62
2563,1,7.0,positive,63
2563,2,7.0,positive,63
2563,3,7.0,positive,63
2563,4,3.0,positive,63
2563,5,1.0,positive,63
2563,6,1.0,positive,63
2563,8,3.0,positive,63
2563,10,4.0,positive,63
2563,11,3.0,positive,63
2564,1,1.0,positive,64
2564,2,1.0,positive,64
2564,3,3.0,positive,64
2564,10,2.0,positive,64
2564,11,2.0,positive,64
2564,12,1.0,positive,64
2565,1,3.0,positive,65
2565,2,1.0,positive,65
2565,3,1.0,positive,65
2565,4,1.0,positive,65
2565,5,3.0,positive,65
2565,8,2.0,positive,65
2565,9,6.0,positive,65
2565,10,4.0,positive,65
2554,7,-7.0,negative,54
2554,8,-1.0,negative,54
2555,3,-1.0,negative,55
2555,5,-2.0,negative,55
2555,12,-1.0,negative,55
2556,2,-1.0,negative,56
2556,4,-1.0,negative,56
2556,6,-1.0,negative,56
2556,8,-2.0,negative,56
2556,9,-1.0,negative,56
2556,10,-1.0,negative,56
2556,12,-4.0,negative,56
2557,1,-7.0,negative,57
2557,2,-5.0,negative,57
2557,3,-8.0,negative,57
2557,4,-9.0,negative,57
2557,5,-1.0,negative,57
2557,6,-1.0,negative,57
2559,3,-1.0,negative,59
2559,5,-1.0,negative,59
2559,6,-1.0,negative,59
2559,7,-2.0,negative,59
2559,9,-1.0,negative,59
2560,6,-1.0,negative,60
2560,7,-1.0,negative,60
2560,11,-2.0,negative,60
2560,12,-2.0,negative,60
2561,2,-3.0,negative,61
2561,4,-1.0,negative,61
2561,6,-1.0,negative,61
2561,7,-1.0,negative,61
2561,9,-2.0,negative,61
2561,11,-3.0,negative,61
2561,12,-2.0,negative,61
2562,1,-3.0,negative,62
2562,2,-3.0,negative,62
2562,3,-4.0,negative,62
2562,4,-7.0,negative,62
2562,5,-7.0,negative,62
2562,7,-1.0,negative,62
2562,8,-1.0,negative,62
2562,9,-1.0,negative,62
2562,10,-2.0,negative,62
2562,11,-3.0,negative,62
2562,12,-4.0,negative,62
2563,1,-4.0,negative,63
2563,2,-2.0,negative,63
2563,3,-2.0,negative,63
2563,5,-1.0,negative,63
2563,6,-4.0,negative,63
2563,7,-4.0,negative,63
2563,8,-1.0,negative,63
2563,9,-5.0,negative,63
2563,10,-1.0,negative,63
2563,11,-3.0,negative,63
2563,12,-1.0,negative,63
2564,2,-2.0,negative,64
2564,3,-5.0,negative,64
2564,8,-1.0,negative,64
2564,10,-2.0,negative,64
2565,1,-1.0,negative,65
2565,3,-3.0,negative,65
2565,4,-2.0,negative,65
2565,5,-1.0,negative,65
2565,6,-4.0,negative,65
2565,7,-1.0,negative,65
2565,8,-1.0,negative,65
