year,month,count,type,short_year
2556,5,1.0,positive,56
2557,1,1.0,positive,57
2557,9,1.0,positive,57
2557,10,1.0,positive,57
2557,12,4.0,positive,57
2558,1,2.0,positive,58
2558,3,2.0,positive,58
2558,4,1.0,positive,58
2558,9,2.0,positive,58
2558,10,1.0,positive,58
2558,11,1.0,positive,58
2558,12,1.0,positive,58
2559,4,1.0,positive,59
2559,8,3.0,positive,59
2560,1,1.0,positive,60
2560,4,1.0,positive,60
2560,7,2.0,positive,60
2560,8,4.0,positive,60
2560,9,4.0,positive,60
2560,11,2.0,positive,60
2560,12,3.0,positive,60
2561,1,2.0,positive,61
2561,2,2.0,positive,61
2561,3,1.0,positive,61
2561,4,1.0,positive,61
2561,5,3.0,positive,61
2561,7,4.0,positive,61
2561,8,3.0,positive,61
2561,9,2.0,positive,61
2561,10,4.0,positive,61
2561,11,6.0,positive,61
2561,12,4.0,positive,61
2562,1,9.0,positive,62
2562,2,10.0,positive,62
2562,3,11.0,positive,62
2562,4,3.0,positive,62
2562,5,8.0,positive,62
2562,6,12.0,positive,62
2562,7,4.0,positive,62
2562,8,1.0,positive,62
2562,9,1.0,positive,62
2562,10,4.0,positive,62
2562,11,1.0,positive,62
2562,12,5.0,positive,62
2563,1,1.0,positive,63
2563,2,3.0,positive,63
2563,3,1.0,positive,63
2563,5,1.0,positive,63
2563,6,2.0,positive,63
2563,7,2.0,positive,63
2563,9,2.0,positive,63
2563,10,2.0,positive,63
2563,11,1.0,positive,63
2563,12,4.0,positive,63
2564,1,1.0,positive,64
2564,2,4.0,positive,64
2564,3,3.0,positive,64
2564,4,1.0,positive,64
2564,5,1.0,positive,64
2564,7,2.0,positive,64
2564,9,4.0,positive,64
2564,10,8.0,positive,64
2564,11,1.0,positive,64
2564,12,2.0,positive,64
2565,1,2.0,positive,65
2565,2,7.0,positive,65
2565,3,4.0,positive,65
2565,4,5.0,positive,65
2565,5,2.0,positive,65
2565,6,4.0,positive,65
2565,7,2.0,positive,65
2565,8,6.0,positive,65
2565,9,46.0,positive,65
2565,10,96.0,positive,65
2565,11,7.0,positive,65
2554,7,-1.0,negative,54
2554,11,-1.0,negative,54
2556,12,-1.0,negative,56
2557,10,-1.0,negative,57
2557,12,-1.0,negative,57
2558,2,-1.0,negative,58
2558,7,-1.0,negative,58
2558,9,-1.0,negative,58
2558,12,-3.0,negative,58
2559,3,-1.0,negative,59
2560,6,-1.0,negative,60
2560,7,-1.0,negative,60
2560,8,-1.0,negative,60
2560,9,-2.0,negative,60
2560,10,-1.0,negative,60
2560,12,-1.0,negative,60
2561,1,-2.0,negative,61
2561,2,-1.0,negative,61
2561,5,-1.0,negative,61
2561,8,-1.0,negative,61
2561,9,-1.0,negative,61
2561,11,-2.0,negative,61
2561,12,-9.0,negative,61
2562,1,-1.0,negative,62
2562,2,-3.0,negative,62
2562,3,-5.0,negative,62
2562,4,-2.0,negative,62
2562,5,-2.0,negative,62
2562,6,-5.0,negative,62
2562,7,-1.0,negative,62
2562,8,-2.0,negative,62
2563,2,-3.0,negative,63
2563,3,-1.0,negative,63
2563,5,-2.0,negative,63
2563,6,-4.0,negative,63
2563,8,-1.0,negative,63
2563,9,-2.0,negative,63
2563,10,-5.0,negative,63
2563,12,-3.0,negative,63
2564,1,-2.0,negative,64
2564,2,-2.0,negative,64
2564,4,-3.0,negative,64
2564,5,-4.0,negative,64
2564,6,-3.0,negative,64
2564,7,-2.0,negative,64
2564,8,-5.0,negative,64
2564,9,-6.0,negative,64
2564,10,-2.0,negative,64
2564,11,-2.0,negative,64
2564,12,-2.0,negative,64
2565,1,-1.0,negative,65
2565,2,-2.0,negative,65
2565,3,-2.0,negative,65
2565,5,-1.0,negative,65
2565,6,-2.0,negative,65
2565,7,-8.0,negative,65
2565,8,-4.0,negative,65
2565,9,-5.0,negative,65
2565,10,-4.0,negative,65
