year,month,count,type,short_year
2561,11,1.0,positive,61
2562,7,1.0,positive,62
2562,8,3.0,positive,62
2562,9,1.0,positive,62
2562,10,1.0,positive,62
2562,11,3.0,positive,62
2563,1,1.0,positive,63
2563,2,1.0,positive,63
2563,3,1.0,positive,63
2563,10,3.0,positive,63
2564,1,4.0,positive,64
2564,2,1.0,positive,64
2564,3,3.0,positive,64
2564,4,1.0,positive,64
2564,6,1.0,positive,64
2564,7,1.0,positive,64
2564,10,3.0,positive,64
2564,11,4.0,positive,64
2564,12,1.0,positive,64
2565,1,3.0,positive,65
2565,2,1.0,positive,65
2565,4,1.0,positive,65
2562,9,-1.0,negative,62
2563,11,-1.0,negative,63
2564,2,-1.0,negative,64
2564,4,-1.0,negative,64
2564,8,-1.0,negative,64
2564,11,-1.0,negative,64
2564,12,-1.0,negative,64
2565,1,-1.0,negative,65
2565,3,-2.0,negative,65
2565,10,-1.0,negative,65
