year,month,count,type,short_year
2554,8,1.0,positive,54
2554,9,1.0,positive,54
2555,3,2.0,positive,55
2555,5,3.0,positive,55
2555,7,1.0,positive,55
2555,8,1.0,positive,55
2555,10,1.0,positive,55
2555,11,1.0,positive,55
2555,12,1.0,positive,55
2556,4,1.0,positive,56
2556,7,1.0,positive,56
2556,10,1.0,positive,56
2556,11,1.0,positive,56
2557,1,1.0,positive,57
2557,3,4.0,positive,57
2557,4,2.0,positive,57
2557,5,2.0,positive,57
2557,6,8.0,positive,57
2557,7,6.0,positive,57
2557,8,1.0,positive,57
2557,9,1.0,positive,57
2557,10,1.0,positive,57
2557,11,2.0,positive,57
2557,12,6.0,positive,57
2558,1,3.0,positive,58
2558,2,6.0,positive,58
2558,3,3.0,positive,58
2558,5,1.0,positive,58
2558,6,2.0,positive,58
2558,9,4.0,positive,58
2559,1,1.0,positive,59
2559,2,1.0,positive,59
2559,9,4.0,positive,59
2559,10,1.0,positive,59
2560,4,1.0,positive,60
2560,11,1.0,positive,60
2560,12,2.0,positive,60
2561,1,3.0,positive,61
2561,3,3.0,positive,61
2561,5,1.0,positive,61
2561,12,2.0,positive,61
2562,1,1.0,positive,62
2562,3,1.0,positive,62
2562,8,2.0,positive,62
2562,11,5.0,positive,62
2563,7,3.0,positive,63
2563,10,5.0,positive,63
2564,2,1.0,positive,64
2564,3,1.0,positive,64
2564,6,1.0,positive,64
2564,7,1.0,positive,64
2564,9,1.0,positive,64
2564,10,4.0,positive,64
2564,12,1.0,positive,64
2565,1,2.0,positive,65
2565,2,2.0,positive,65
2565,3,1.0,positive,65
2565,5,1.0,positive,65
2565,7,3.0,positive,65
2554,8,-1.0,negative,54
2554,9,-4.0,negative,54
2554,11,-1.0,negative,54
2555,1,-3.0,negative,55
2555,3,-2.0,negative,55
2555,5,-3.0,negative,55
2555,6,-1.0,negative,55
2555,7,-1.0,negative,55
2555,9,-2.0,negative,55
2555,10,-1.0,negative,55
2555,11,-3.0,negative,55
2555,12,-2.0,negative,55
2556,1,-1.0,negative,56
2556,3,-1.0,negative,56
2556,4,-1.0,negative,56
2556,5,-2.0,negative,56
2556,6,-3.0,negative,56
2556,7,-8.0,negative,56
2556,8,-1.0,negative,56
2556,9,-2.0,negative,56
2556,10,-4.0,negative,56
2556,11,-5.0,negative,56
2556,12,-10.0,negative,56
2557,1,-2.0,negative,57
2557,2,-11.0,negative,57
2557,3,-9.0,negative,57
2557,4,-4.0,negative,57
2557,5,-3.0,negative,57
2557,9,-1.0,negative,57
2557,10,-1.0,negative,57
2558,7,-1.0,negative,58
2558,9,-1.0,negative,58
2558,10,-1.0,negative,58
2558,11,-1.0,negative,58
2559,9,-1.0,negative,59
2560,6,-1.0,negative,60
2560,11,-1.0,negative,60
2560,12,-4.0,negative,60
2561,1,-1.0,negative,61
2563,6,-1.0,negative,63
2563,7,-3.0,negative,63
2563,8,-2.0,negative,63
2563,9,-3.0,negative,63
2563,10,-1.0,negative,63
2563,11,-1.0,negative,63
2563,12,-2.0,negative,63
2564,2,-3.0,negative,64
2564,3,-4.0,negative,64
2564,5,-3.0,negative,64
2564,6,-1.0,negative,64
2564,8,-3.0,negative,64
2564,9,-2.0,negative,64
2564,12,-1.0,negative,64
2565,2,-1.0,negative,65
2565,3,-2.0,negative,65
2565,6,-2.0,negative,65
2565,7,-7.0,negative,65
2565,8,-3.0,negative,65
2565,9,-2.0,negative,65
